Jurisdiction,Year,Industry,Unit,Quantity
NSW,1974,Other,PJ,18.4
NSW,1974,Residential,PJ,74.9
NSW,1974,Total,PJ,964.7
NSW,1974,Transport,PJ,246.8
NSW,1974,Water and waste,PJ,2.4
NSW,1975,Agriculture,PJ,9.3
NSW,1975,Commercial and services,PJ,29.8
NSW,1975,Construction,PJ,6.7
NSW,1975,Electricity generation,PJ,158.3
NSW,1975,Manufacturing,PJ,379.4
NSW,1975,Mining,PJ,6.1
NSW,1975,Other,PJ,17
NSW,1975,Residential,PJ,76.1
NSW,1975,Total,PJ,934
NSW,1975,Transport,PJ,248.8
NSW,1975,Water and waste,PJ,2.5
NSW,1976,Agriculture,PJ,9.5
NSW,1976,Commercial and services,PJ,31.2
NSW,1976,Construction,PJ,8.1
NSW,1976,Electricity generation,PJ,198.5
NSW,1976,Manufacturing,PJ,364.8
NSW,1976,Mining,PJ,6.6
NSW,1976,Other,PJ,19.6
NSW,1976,Residential,PJ,79.5
NSW,1976,Total,PJ,980.2
NSW,1976,Transport,PJ,259.8
NSW,1976,Water and waste,PJ,2.5
NSW,1977,Agriculture,PJ,10.2
NSW,1977,Commercial and services,PJ,31.9
NSW,1977,Construction,PJ,8
NSW,1977,Electricity generation,PJ,213.4
NSW,1977,Manufacturing,PJ,365.8
NSW,1977,Mining,PJ,6.6
NSW,1977,Other,PJ,18.2
NSW,1977,Residential,PJ,78.8
NSW,1977,Total,PJ,1011.3
NSW,1977,Transport,PJ,275.8
NSW,1977,Water and waste,PJ,2.6
NSW,1978,Agriculture,PJ,10.2
NSW,1978,Commercial and services,PJ,34
NSW,1978,Construction,PJ,7.8
NSW,1978,Electricity generation,PJ,222.5
NSW,1978,Manufacturing,PJ,359.3
NSW,1978,Mining,PJ,6.9
NSW,1978,Other,PJ,18.1
NSW,1978,Residential,PJ,82
NSW,1978,Total,PJ,1019.3
NSW,1978,Transport,PJ,276
NSW,1978,Water and waste,PJ,2.5
NSW,1979,Agriculture,PJ,11.1
NSW,1979,Commercial and services,PJ,35.2
NSW,1979,Construction,PJ,7.4
NSW,1979,Electricity generation,PJ,250.5
