LGA_CODE_2016,LGA_NAME_2016,EnergyType,Capacity
34880,Mareeba (S),Residential Capacity (MW),127465
24330,Maribyrnong (C),Residential Capacity (MW),0
44060,Marion (C),Residential Capacity (MW),504
24410,Maroondah (C),Residential Capacity (MW),10273
34800,McKinlay (S),Residential Capacity (MW),28286
64210,Meander Valley (M),Residential Capacity (MW),84893
55250,Meekatharra (S),Residential Capacity (MW),0
24600,Melbourne (C),Residential Capacity (MW),0
24650,Melton (C),Residential Capacity (MW),39850
55320,Melville (C),Residential Capacity (MW),0
55390,Menzies (S),Residential Capacity (MW),7404
55460,Merredin (S),Residential Capacity (MW),27593
44210,Mid Murray (DC),Residential Capacity (MW),131536
15240,Mid-Coast (A),Residential Capacity (MW),320003
15270,Mid-Western Regional (A),Residential Capacity (MW),143182
24780,Mildura (RC),Residential Capacity (MW),239604
55530,Mingenew (S),Residential Capacity (MW),13231
44340,Mitcham (C),Residential Capacity (MW),444
24850,Mitchell (S),Residential Capacity (MW),123900
24900,Moira (S),Residential Capacity (MW),199703
24970,Monash (C),Residential Capacity (MW),0
25060,Moonee Valley (C),Residential Capacity (MW),358
55600,Moora (S),Residential Capacity (MW),39899
25150,Moorabool (S),Residential Capacity (MW),116416
55670,Morawa (S),Residential Capacity (MW),20682
15300,Moree Plains (A),Residential Capacity (MW),131468
25250,Moreland (C),Residential Capacity (MW),0
35010,Moreton Bay (R),Residential Capacity (MW),249520
35250,Mornington (S),Residential Capacity (MW),5342
25340,Mornington Peninsula (S),Residential Capacity (MW),244048
15350,Mosman (A),Residential Capacity (MW),0
55740,Mosman Park (T),Residential Capacity (MW),0
25430,Mount Alexander (S),Residential Capacity (MW),85519
44550,Mount Barker (DC),Residential Capacity (MW),120346
44620,Mount Gambier (C),Residential Capacity (MW),3855
35300,Mount Isa (C),Residential Capacity (MW),47940
55810,Mount Magnet (S),Residential Capacity (MW),5150
55880,Mount Marshall (S),Residential Capacity (MW),22247
44830,Mount Remarkable (DC),Residential Capacity (MW),43186
25490,Moyne (S),Residential Capacity (MW),193928
55950,Mukinbudin (S),Residential Capacity (MW),15658
56090,Mundaring (S),Residential Capacity (MW),32483
56160,Murchison (S),Residential Capacity (MW),3617
56230,Murray (S),Residential Capacity (MW),91423
45040,Murray Bridge (RC),Residential Capacity (MW),104194
15520,Murray River (A),Residential Capacity (MW),106788
25620,Murrindindi (S),Residential Capacity (MW),103654
15560,Murrumbidgee (A),Residential Capacity (MW),68647
35600,Murweh (S),Residential Capacity (MW),20449
15650,Muswellbrook (A),Residential Capacity (MW),68533
15700,Nambucca (A),Residential Capacity (MW),55522
56300,Nannup (S),Residential Capacity (MW),22047
35670,Napranum (S),Residential Capacity (MW),1570
45090,Naracoorte and Lucindale (DC),Residential Capacity (MW),99427
56370,Narembeen (S),Residential Capacity (MW),26541
15750,Narrabri (A),Residential Capacity (MW),147188
15800,Narrandera (A),Residential Capacity (MW),51327
56460,Narrogin (S),Residential Capacity (MW),39066
15850,Narromine (A),Residential Capacity (MW),75771
56580,Nedlands (C),Residential Capacity (MW),0
15900,Newcastle (C),Residential Capacity (MW),10224
56620,Ngaanyatjarraku (S),Residential Capacity (MW),11328
25710,Nillumbik (S),Residential Capacity (MW),129600
35740,Noosa (S),Residential Capacity (MW),78364
35760,North Burnett (R),Residential Capacity (MW),127390
15950,North Sydney (A),Residential Capacity (MW),4200
56730,Northam (S),Residential Capacity (MW),55694
56790,Northampton (S),Residential Capacity (MW),26615
45120,Northern Areas (DC),Residential Capacity (MW),64044
15990,Northern Beaches (A),Residential Capacity (MW),167192
25810,Northern Grampians (S),Residential Capacity (MW),93340
64610,Northern Midlands (M),Residential Capacity (MW),80056
35780,Northern Peninsula Area (R),Residential Capacity (MW),0
45290,Norwood Payneham St Peters (C),Residential Capacity (MW),0
56860,Nungarin (S),Residential Capacity (MW),171
16100,Oberon (A),Residential Capacity (MW),37160
45340,Onkaparinga (C),Residential Capacity (MW),89816
16150,Orange (C),Residential Capacity (MW),82681
45400,Orroroo/Carrieton (DC),Residential Capacity (MW),19494
35790,Palm Island (S),Residential Capacity (MW),16330
72800,Palmerston (C),Residential Capacity (MW),91
16200,Parkes (A),Residential Capacity (MW),116392
35800,Paroo (S),Residential Capacity (MW),25406
16260,Parramatta (C),Residential Capacity (MW),29231
16350,Penrith (C),Residential Capacity (MW),212451
56930,Peppermint Grove (S),Residential Capacity (MW),0
57000,Perenjori (S),Residential Capacity (MW),25139
57080,Perth (C),Residential Capacity (MW),0
45540,Peterborough (DC),Residential Capacity (MW),14060
57140,Pingelly (S),Residential Capacity (MW),24528
57210,Plantagenet (S),Residential Capacity (MW),79555
