LGA_CODE_2016,LGA_NAME_2016,Residential Capacity (MW),Rural / Primacy Production Capacity (MW),Industrial Capacity (MW),Commercial Capacity (MW),Mixed Capacity (MW),,,,,
35250,Mornington (S),5342,14,105,312,34,,,,,
25340,Mornington Peninsula (S),244048,49744,81,23289,11271,,,,,
15350,Mosman (A),0,0,0,4033,3014,,,,,
55740,Mosman Park (T),0,3074,0,1305,98,,,,,
25430,Mount Alexander (S),85519,2,0,9899,586,,,,,
44550,Mount Barker (DC),120346,0,25744,4284,756,,,,,
44620,Mount Gambier (C),3855,0,498,0,83,,,,,
35300,Mount Isa (C),47940,0,2779,0,0,,,,,
55810,Mount Magnet (S),5150,232,0,1245,1326,,,,,
55880,Mount Marshall (S),22247,0,0,518,580,,,,,
44830,Mount Remarkable (DC),43186,0,23256,145,384,,,,,
25490,Moyne (S),193928,1525,3,881,673,,,,,
55950,Mukinbudin (S),15658,137,0,335,551,,,,,
56090,Mundaring (S),32483,6503,528,5963,881,,,,,
56160,Murchison (S),3617,13,183,191,90,,,,,
56230,Murray (S),91423,38941,0,7433,633,,,,,
45040,Murray Bridge (RC),104194,0,11773,4681,1614,,,,,
15520,Murray River (A),106788,29,0,120,2868,,,,,
25620,Murrindindi (S),103654,305,4,1602,421,,,,,
15560,Murrumbidgee (A),68647,0,0,0,179,,,,,
35600,Murweh (S),20449,0,10,5316,4100,,,,,
15650,Muswellbrook (A),68533,0,40,609,2146,,,,,
15700,Nambucca (A),55522,0,883,182,7786,,,,,
56300,Nannup (S),22047,2508,215,825,923,,,,,
35670,Napranum (S),1570,0,0,698,773,,,,,
45090,Naracoorte and Lucindale (DC),99427,0,2384,174,1851,,,,,
56370,Narembeen (S),26541,154,29,724,332,,,,,
15750,Narrabri (A),147188,0,5127,590,2447,,,,,
15800,Narrandera (A),51327,0,1,4,28,,,,,
56460,Narrogin (S),39066,0,890,6411,1543,,,,,
15850,Narromine (A),75771,0,0,0,770,,,,,
56580,Nedlands (C),0,6987,1640,5143,482,,,,,
15900,Newcastle (C),10224,74663,36748,30151,18122,,,,,
56620,Ngaanyatjarraku (S),11328,389,36,55,104,,,,,
25710,Nillumbik (S),129600,15502,1707,8977,2594,,,,,
35740,Noosa (S),78364,5887,27485,6825,2244,,,,,
35760,North Burnett (R),127390,0,27876,212,1851,,,,,
15950,North Sydney (A),4200,0,14664,13490,1302,,,,,
56730,Northam (S),55694,4580,3987,7402,2089,,,,,
56790,Northampton (S),26615,3143,4,2470,1195,,,,,
45120,Northern Areas (DC),64044,0,5324,3598,1,,,,,
15990,Northern Beaches (A),167192,7602,8370,21609,11970,,,,,
25810,Northern Grampians (S),93340,170,1581,4455,2841,,,,,
64610,Northern Midlands (M),80056,311,5350,4146,2214,,,,,
35780,Northern Peninsula Area (R),0,0,0,0,0,,,,,
45290,Norwood Payneham St Peters (C),0,0,6116,4419,364,,,,,
56860,Nungarin (S),171,0,0,1,1,,,,,
16100,Oberon (A),37160,0,55,225,88,,,,,
45340,Onkaparinga (C),89816,0,31220,3692,4238,,,,,
16150,Orange (C),82681,0,2768,5208,4439,,,,,
45400,Orroroo/Carrieton (DC),19494,0,858,792,0,,,,,
35790,Palm Island (S),16330,0,745,429,1147,,,,,
72800,Palmerston (C),91,11032,0,12514,837,,,,,
16200,Parkes (A),116392,655,7191,547,1815,,,,,
35800,Paroo (S),25406,0,13469,0,647,,,,,
16260,Parramatta (C),29231,0,37386,22770,10543,,,,,
16350,Penrith (C),212451,1110,20484,17877,10683,,,,,
56930,Peppermint Grove (S),0,255,0,149,2,,,,,
57000,Perenjori (S),25139,467,0,664,384,,,,,
57080,Perth (C),0,186,17914,621,333,,,,,
45540,Peterborough (DC),14060,0,1037,637,0,,,,,
57140,Pingelly (S),24528,31,385,681,552,,,,,
57210,Plantagenet (S),79555,2664,303,4551,918,,,,,
